Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,pred_probabilities
Chibueze,546,Germany,Female,58,3,106458.31,4,1,0,128881.87,0.9943127721089966
Walton,479,Germany,Male,51,1,107714.74,3,1,0,86128.21,0.9884701563702748
Galgano,665,Germany,Female,43,2,116322.27,4,1,0,35640.12,0.9828826002061494
Findlay,515,Germany,Male,45,7,120961.5,3,1,1,39288.11,0.9813239644127006
Christopher,697,France,Female,49,7,195238.29,4,0,1,131083.56,0.9771947250633898
Kenenna,710,Germany,Male,43,2,140080.32,3,1,1,157908.19,0.9747931707950027
Dumetolisa,628,France,Female,46,1,46870.43,4,1,0,31272.14,0.9733370963427875
Moretti,495,Spain,Female,45,3,89158.94,3,1,0,135169.76,0.9732223965175953
Gardiner,745,Germany,Male,45,10,117231.63,3,1,1,122381.02,0.9726178223530515
Chang,795,Spain,Female,56,5,0.0,1,1,0,35418.69,0.9722734329672656
McGuffog,651,France,Female,56,4,0.0,1,0,0,84383.22,0.9700966948261408
Marcelo,850,Spain,Female,55,7,0.0,1,0,0,171762.87,0.9695329870993326
Hawthorn,547,Germany,Male,50,3,81290.02,3,0,1,177747.03,0.968131814950621
Lorenzo,481,France,Female,57,9,0.0,3,1,1,169719.35,0.9641474475699703
Paterson,850,Germany,Male,43,0,108508.82,3,1,0,184044.8,0.9640196110310114
Lin,350,France,Female,60,3,0.0,1,0,0,113796.15,0.9611712517487041
Gibson,594,France,Male,57,6,0.0,1,1,0,19376.56,0.9606206671355232
Yu,662,Germany,Male,59,2,104568.41,1,1,0,8059.44,0.9574225106686624
Wood,705,Germany,Female,56,2,143249.67,1,1,0,88428.41,0.9564494308785204
Hovell,646,Germany,Female,57,6,90212.0,1,1,0,13911.27,0.9509336312090351
Ukaegbunam,634,France,Female,45,2,0.0,4,1,0,101039.53,0.9486268698986684
Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,0.9476822067054547
Levy,555,Germany,Female,51,9,138214.5,1,1,0,198715.27,0.9476584569816092
Mackenzie,603,Spain,Female,56,5,90778.76,2,1,0,162223.67,0.9465912997144491
Giles,675,France,Male,54,6,0.0,1,1,0,110273.84,0.9463912002816951
Alexander,792,Germany,Female,50,4,146710.76,1,1,0,16528.4,0.942439417323221
Heath,487,Germany,Female,61,5,110368.03,1,0,0,11384.45,0.9422290475247771
Yashina,497,Germany,Female,32,8,111537.23,4,1,1,9497.99,0.942035138431299
Kung,647,Germany,Male,51,4,131156.76,1,1,0,29883.63,0.9413769799927246
White,474,France,Male,54,3,0.0,1,1,0,108409.17,0.9382069181178911
MacDonald,739,Germany,Male,40,5,149131.03,3,1,1,60036.99,0.9371691290004287
Toth,544,Spain,Female,53,9,0.0,1,1,0,125692.07,0.9348600807558393
Chiganu,619,Germany,Female,42,8,132796.04,3,1,1,191821.35,0.9312913586166011
Chou,351,Germany,Female,57,4,163146.46,1,1,0,169621.69,0.9305745660728213
Ugonna,679,France,Male,41,8,147726.98,3,1,0,172749.4,0.9144821425813505
Marino,492,Germany,Female,52,8,125396.24,1,1,0,10014.72,0.9100043345748949
Carter,803,Germany,Female,50,8,98173.02,1,0,0,22457.25,0.9047955568806522
Chijindum,678,France,Male,54,7,128914.97,1,0,0,191746.23,0.9015590558161662
Liu,850,Germany,Female,45,1,121874.89,1,0,0,6865.41,0.9010647867715668
Ch'iu,579,Spain,Male,56,4,99340.83,1,0,0,4523.74,0.8993447687876827
Calabresi,724,Spain,Female,41,4,142880.28,3,0,0,185541.2,0.8986235884558073
Banks,704,France,Male,31,5,132084.66,3,1,1,54474.48,0.8948255304978169
H?,850,Spain,Female,54,4,120952.74,1,1,0,66963.15,0.8891902661750303
Chu,499,Germany,Female,55,4,126817.65,2,1,0,123269.71,0.8879374260566226
Giordano,836,Spain,Male,57,4,101247.06,1,1,0,37141.62,0.8878815441764271
Barnett,745,Germany,Male,51,3,99183.9,1,1,1,28922.25,0.8874435858665455
Forbes,689,Germany,Female,40,4,78119.59,4,1,0,119259.34,0.8868063775523625
Pendergrass,509,France,Female,46,1,0.0,1,1,0,71244.59,0.8865784993297059
Tikhonov,528,Germany,Female,46,9,135555.66,1,1,0,133146.03,0.8830483639823062
Neumann,530,France,Female,48,0,0.0,1,1,0,85081.09,0.8825769575824544
Sung,554,Germany,Female,55,0,108477.27,1,0,1,140003.0,0.8802371816136844
Arbour,577,Spain,Male,51,2,108867.0,1,0,0,140800.66,0.8801054658427085
Y?,637,Germany,Female,46,2,143500.82,1,1,0,166996.46,0.8792245715671526
